type,chapter,chapterTitle,department,departmentTitle,section,sectionTitle,article,articleTitle,2013,2014,2015,2016,2017,2018
depenses,,,0,Ministère d'Etat,00.0,Maison du Grand-Duc,10.000,Liste civile,1131882,1160157,1174569,1196537,1213835,1241590
depenses,,,0,Ministère d'Etat,00.0,Maison du Grand-Duc,10.001,Frais du personnel attaché à la fonction de Chef de l'Etat,4959659,5031584,5361756,5478753,5657127,5870715
depenses,,,0,Ministère d'Etat,00.0,Maison du Grand-Duc,10.002,Frais de représentation du Chef de l'Etat,678043,694980,703614,716774,727136,743762
depenses,,,0,Ministère d'Etat,00.0,Maison du Grand-Duc,10.003,Frais de représentation de Son Altesse Royale le Grand-Duc Héritier,151553,155339,157269,160210,162527,166243
depenses,,,0,Ministère d'Etat,00.0,Maison du Grand-Duc,10.004,Frais du personnel attaché à la fonction d'ancien Chef de l'Etat,1363906,1353040,1377136,1418659,1453678,1505326
depenses,,,0,Ministère d'Etat,00.0,Maison du Grand-Duc,10.005,Frais de représentation de Son Altesse Royale le Grand-Duc Jean,235373,239379,241421,244534,246985,250917
depenses,,,0,Ministère d'Etat,00.0,Maison du Grand-Duc,10.007,Frais de fonctionnement et dépenses courantes,686800,605000,615280,631680,644080,655280
depenses,,,0,Ministère d'Etat,00.0,Maison du Grand-Duc,11.000,Traitements des fonctionnaires,192508,173098,178758,183089,187240,193832
depenses,,,0,Ministère d'Etat,00.1,Chambre des Députés,10.000,Chambre des Députés,32210471,32210471,32210471,32210471,32210471,32210471
depenses,,,0,Ministère d'Etat,00.1,Chambre des Députés,10.001,Médiateur,1246950,1322450,1439238,1475981,1552282,1559025
depenses,,,0,Ministère d'Etat,00.1,Chambre des Députés,10.002,Remboursement partiel des frais des campagnes électorales aux partis politiques,0,1725000,0,0,0,1725000
depenses,,,0,Ministère d'Etat,00.2,Cour des Comptes,10.000,Dotation au profit de la Cour des Comptes,3993682,4183139,4482733,4628555,4731296,4875857
depenses,,,0,Ministère d'Etat,00.3,Conseil d'Etat,10.000,Dotation au profit du Conseil d'Etat,1978673,1980243,2003185,2053667,2078984,2099442
